,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506
Cost(VNS_G) - Seed: 0 - k_max: 40 - max_iter50,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 40 - max_iter100,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 40 - max_iter100,,,,,,,,,,,,,,,,,,43
Duration - Seed: 0 - k_max: 40 - max_iter100,,,,,,,,,,,,,,,,,,0.9607536792755127
Cost(VNS_G) - Seed: 0 - k_max: 40 - max_iter100,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 50 - max_iter10,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 50 - max_iter10,,,,,,,,,,,,,,,,,,43
Duration - Seed: 0 - k_max: 50 - max_iter10,,,,,,,,,,,,,,,,,,4.916269779205322
Cost(VNS_G) - Seed: 0 - k_max: 50 - max_iter10,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 50 - max_iter20,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 50 - max_iter20,,,,,,,,,,,,,,,,,,43
Duration - Seed: 0 - k_max: 50 - max_iter20,,,,,,,,,,,,,,,,,,4.776047468185425
Cost(VNS_G) - Seed: 0 - k_max: 50 - max_iter20,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 50 - max_iter50,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 50 - max_iter50,,,,,,,,,,,,,,,,,,43
Duration - Seed: 0 - k_max: 50 - max_iter50,,,,,,,,,,,,,,,,,,4.878952980041504
Cost(VNS_G) - Seed: 0 - k_max: 50 - max_iter50,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 50 - max_iter100,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 50 - max_iter100,,,,,,,,,,,,,,,,,,43
Duration - Seed: 0 - k_max: 50 - max_iter100,,,,,,,,,,,,,,,,,,4.778813123703003
Cost(VNS_G) - Seed: 0 - k_max: 50 - max_iter100,,,,,,,,,,,,,,,,,,43
